name,abbr
Bank of China Ltd,BOC
Cimb Group Holdings Bhd,CIMB
DBS Group Holdings Ltd,DBS
Malayan Banking Bhd,Maybank
Oversea-Chinese Banking Corporation Ltd,OCBC
United Overseas Bank Ltd,UOB
ABN Amro Bank NV,ABN AMRO
AP Moeller - Maersk A/S,Maersk
Agricultural Bank of China Ltd,Agricultural Bank of China
Agritrade Resources Ltd,Agritrade Resources
Air New Zealand Ltd,NZ
Alibaba Group Holding Ltd,Alibaba Group
Amundi SA,Amundi
Aston Martin Lagonda Global Holdings PLC,Aston Martin
Australia and New Zealand Banking Group Ltd,ANZ
Axiata Group Bhd,Axiata
Axis Bank Ltd,Axis Bank
BOC Aviation Ltd,BOC Aviation
BOC Hong Kong Holdings Ltd,BOCHK
BP PLC,BP
Banco de Sabadell SA,Banco Sabadell
Bank of Communications Co Ltd,Bank of Communications
Bank of Gansu Co Ltd,Bank of Gansu
BlackRock Inc,BlackRock
Bloomberry Resorts Corp,Bloomberry
CAA Resources Ltd,CAA Resources
CME Group Inc,CME Group
Capitaland Mall Trust,CMT
Carnival Corp,Carnival Corp
China Construction Bank Corp,CCB
Commonwealth Bank of Australia,Commonwealth Bank
Credit Agricole Bank PAT,Credit Agricole
Credit Suisse Group AG,Credit Suisse
DMCI Holdings Inc,DMCI Homes
HDFC Bank Ltd,HDFC Bank
HSBC Holdings PLC,HSBC
Hin Leong Trading (Pte) Ltd,Hin Leong
Hontop Energy (Singapore) Pte Ltd,Hontop Energy
ING Groep NV,ING Group
Industrial and Commercial Bank of China Ltd,ICBC
Internet Thailand PCL,INET:TB
JPMorgan Chase & Co,JPMorgan Chase
KS Energy Ltd,KS Energy Ltd
Korea Exchange,Korea Exchange
Mapletree Commercial Trust,Mapletree Commercial Trust
Mastercard Inc,Mastercard
Max Metal Corporation PCL,Max Metal Corporation
Maybank Islamic Bhd,Maybank Islamic Berhad
Mitsubishi UFJ Financial Group Inc,MUFG
National Australia Bank Ltd,NAB
Natixis SA,Natixis
OCBC Bank (Malaysia) Bhd,OCBC Malaysia
Ocean Tankers Pte Ltd,Ocean Tankers
Qantas Airways Ltd,Qantas
Razer Inc,Razer
Royal Dutch Shell PLC,Shell
Royal Orchid Hotel Thailand PCL,ROH:TB
San Miguel Corp,SMC
Schroders PLC,Schroders
Sea Ltd,Sea
Shanghai Pudong Development Bank Co Ltd,SPD Bank
Singapore Airlines Ltd,Singapore Airlines
Singapore Telecommunications Ltd,Singtel
Societe Generale SA,Societe Generale
Standard Chartered PLC,Standard Chartered
Stock Exchange of Thailand,SET
Sumitomo Mitsui Financial Group Inc,SMFG
Tata Motors Ltd,Tata Motors
Temasek Holdings (Private) Ltd,Temasek
Total SA,Total
United Continental Holdings Inc,UAH
Virgin Australia Holdings Ltd,Virgin Australia Holdings
Westpac Banking Corp,Westpac
Wuling Motors Holdings Ltd,Wuling Motors
Zhejiang Ant Small & Micro Financial Service Goup Co Ltd,ANT Group